year,species_finnish,species_english,species_key,quantity_kg,quantity_units,value_eur,price_eur_per_kg,price_eur_per_unit
1980,LAHNA,Bream,bream,103000.0,,82000.0,0.7961165048543689,
1981,LAHNA,Bream,bream,59000.0,,45000.0,0.7627118644067796,
1982,LAHNA,Bream,bream,70000.0,,59000.0,0.8428571428571429,
1983,LAHNA,Bream,bream,64000.0,,51000.0,0.796875,
1984,LAHNA,Bream,bream,60000.0,,45000.0,0.75,
1985,LAHNA,Bream,bream,56000.0,,46000.0,0.8214285714285714,
1986,LAHNA,Bream,bream,49000.0,,38000.0,0.7755102040816326,
1987,LAHNA,Bream,bream,47000.0,,38000.0,0.8085106382978723,
1988,LAHNA,Bream,bream,47000.0,,46000.0,0.9787234042553191,
1989,LAHNA,Bream,bream,44000.0,,36000.0,0.8181818181818182,
1990,LAHNA,Bream,bream,30000.0,,21000.0,0.7,
1991,LAHNA,Bream,bream,42000.0,,25000.0,0.5952380952380952,
1992,LAHNA,Bream,bream,44000.0,,31000.0,0.7045454545454546,
1993,LAHNA,Bream,bream,42000.0,,29000.0,0.6904761904761905,
1994,LAHNA,Bream,bream,91000.0,,68000.0,0.7472527472527473,
1995,LAHNA,Bream,bream,64000.0,,39000.0,0.609375,
1996,LAHNA,Bream,bream,129000.0,,67000.0,0.5193798449612403,
1997,LAHNA,Bream,bream,,,,,
1998,LAHNA,Bream,bream,132000.0,,74000.0,0.5606060606060606,
1999,LAHNA,Bream,bream,,,,,
2000,LAHNA,Bream,bream,217000.0,,121000.0,0.5576036866359447,
2001,LAHNA,Bream,bream,,,,,
2002,LAHNA,Bream,bream,221000.0,,113000.0,0.5113122171945701,
2003,LAHNA,Bream,bream,,,,,
2004,LAHNA,Bream,bream,323000.0,,129000.0,0.3993808049535604,
2005,LAHNA,Bream,bream,,,,,
2006,LAHNA,Bream,bream,220000.0,,75000.0,0.3409090909090909,
2007,LAHNA,Bream,bream,,,,,
2008,LAHNA,Bream,bream,157000.0,,65000.0,0.4140127388535032,
2009,LAHNA,Bream,bream,,,,,
2010,LAHNA,Bream,bream,319000.0,,125000.0,0.39184952978056425,
2011,LAHNA,Bream,bream,,,,,
2012,LAHNA,Bream,bream,247000.0,,75000.0,0.30364372469635625,
2013,LAHNA,Bream,bream,,,,,
2014,LAHNA,Bream,bream,431000.0,,174000.0,0.4037122969837587,
2015,LAHNA,Bream,bream,,,,,
2016,LAHNA,Bream,bream,299000.0,,302000.0,1.0100334448160535,
2017,LAHNA,Bream,bream,379000.0,,360000.0,0.9498680738786279,
2018,LAHNA,Bream,bream,354000.0,,252000.0,0.711864406779661,
2019,LAHNA,Bream,bream,409000.0,,245000.0,0.5990220048899756,
2020,LAHNA,Bream,bream,382000.0,,264000.0,0.6910994764397905,
2021,LAHNA,Bream,bream,402000.0,,314000.0,0.7810945273631841,
2022,LAHNA,Bream,bream,467000.0,,387000.0,0.828693790149893,
2023,LAHNA,Bream,bream,398000.0,,490000.0,1.2311557788944723,
2024,LAHNA,Bream,bream,405000.0,,498000.0,1.2296296296296296,
1980,MADE,Burbot,burbot,115000.0,,181000.0,1.5739130434782609,
1981,MADE,Burbot,burbot,104000.0,,176000.0,1.6923076923076923,
