year,metric_key,value
2010,chlorophyll_a_surface_ug_l,7.514285714
2011,chlorophyll_a_surface_ug_l,7.242857143
2012,chlorophyll_a_surface_ug_l,12.46
2013,chlorophyll_a_surface_ug_l,7.657142857
2014,chlorophyll_a_surface_ug_l,5.8
2015,chlorophyll_a_surface_ug_l,8.16
2016,chlorophyll_a_surface_ug_l,8.4125
2017,chlorophyll_a_surface_ug_l,7.39375
2018,chlorophyll_a_surface_ug_l,10.68666667
2019,chlorophyll_a_surface_ug_l,8.8625
2020,chlorophyll_a_surface_ug_l,12.22666667
2021,chlorophyll_a_surface_ug_l,8.235714286
2022,chlorophyll_a_surface_ug_l,7.383333333
2023,chlorophyll_a_surface_ug_l,7.330769231
2024,chlorophyll_a_surface_ug_l,7.757142857
2025,chlorophyll_a_surface_ug_l,5.842857143
2010,temp_1m_c,16.55714286
2011,temp_1m_c,16.81428571
2012,temp_1m_c,14.3
2013,temp_1m_c,16.17142857
2014,temp_1m_c,15.88571429
2015,temp_1m_c,14.24
2016,temp_1m_c,15.9
2017,temp_1m_c,13.875
2018,temp_1m_c,15.0875
2019,temp_1m_c,15.04375
2020,temp_1m_c,14.81875
2021,temp_1m_c,15.96666667
2022,temp_1m_c,16.03846154
2023,temp_1m_c,16.74615385
2024,temp_1m_c,16.68571429
2025,temp_1m_c,16.1
2010,temp_bottom_c,13.71428571
2011,temp_bottom_c,14.58571429
2012,temp_bottom_c,14.76
2013,temp_bottom_c,11.82857143
2014,temp_bottom_c,12.47142857
2015,temp_bottom_c,12.24
2016,temp_bottom_c,15.2875
2017,temp_bottom_c,13.3125
2018,temp_bottom_c,13.14666667
2019,temp_bottom_c,14.15
2020,temp_bottom_c,12.31875
2021,temp_bottom_c,13.33333333
2022,temp_bottom_c,14.31538462
2023,temp_bottom_c,13.66153846
2024,temp_bottom_c,15.25714286
2025,temp_bottom_c,14.44285714
2010,total_n_bottom_ug_l,627.1428571
2011,total_n_bottom_ug_l,684.2857143
2012,total_n_bottom_ug_l,553.3333333
2013,total_n_bottom_ug_l,720.0
2014,total_n_bottom_ug_l,605.7142857
2015,total_n_bottom_ug_l,604.0
2016,total_n_bottom_ug_l,470.0
2017,total_n_bottom_ug_l,405.0
2018,total_n_bottom_ug_l,566.6666667
2019,total_n_bottom_ug_l,561.3333333
2020,total_n_bottom_ug_l,631.4285714
2021,total_n_bottom_ug_l,617.6923077
2022,total_n_bottom_ug_l,618.1818182
2023,total_n_bottom_ug_l,610.8333333
2024,total_n_bottom_ug_l,513.3333333
2025,total_n_bottom_ug_l,485.0
2010,total_n_mid_ug_l,465.7142857
2011,total_n_mid_ug_l,480.0
2012,total_n_mid_ug_l,525.0
2013,total_n_mid_ug_l,461.4285714
2014,total_n_mid_ug_l,455.7142857
2015,total_n_mid_ug_l,488.0
2016,total_n_mid_ug_l,395.0
2017,total_n_mid_ug_l,378.75
2018,total_n_mid_ug_l,453.3333333
2019,total_n_mid_ug_l,460.0
2020,total_n_mid_ug_l,534.375
2021,total_n_mid_ug_l,505.7142857
2022,total_n_mid_ug_l,451.6666667
2023,total_n_mid_ug_l,402.3076923
2024,total_n_mid_ug_l,390.0
2025,total_n_mid_ug_l,432.8571429
2010,total_n_surface_ug_l,444.2857143
2011,total_n_surface_ug_l,460.0
2012,total_n_surface_ug_l,510.0
2013,total_n_surface_ug_l,460.0
2014,total_n_surface_ug_l,412.8571429
2015,total_n_surface_ug_l,482.0
2016,total_n_surface_ug_l,432.5
2017,total_n_surface_ug_l,385.0
2018,total_n_surface_ug_l,424.6666667
2019,total_n_surface_ug_l,455.625
2020,total_n_surface_ug_l,516.0
2021,total_n_surface_ug_l,470.0
2022,total_n_surface_ug_l,422.5
2023,total_n_surface_ug_l,378.3333333
2024,total_n_surface_ug_l,398.3333333
2025,total_n_surface_ug_l,435.0
2010,total_p_bottom_ug_l,32.85714286
2011,total_p_bottom_ug_l,42.0
2012,total_p_bottom_ug_l,29.66666667
2013,total_p_bottom_ug_l,35.0
2014,total_p_bottom_ug_l,44.28571429
2015,total_p_bottom_ug_l,47.4
2016,total_p_bottom_ug_l,25.5
2017,total_p_bottom_ug_l,25.375
2018,total_p_bottom_ug_l,35.06666667
2019,total_p_bottom_ug_l,32.25
2020,total_p_bottom_ug_l,36.92857143
2021,total_p_bottom_ug_l,31.15384615
2022,total_p_bottom_ug_l,38.09090909
2023,total_p_bottom_ug_l,38.15
2024,total_p_bottom_ug_l,22.66666667
2025,total_p_bottom_ug_l,32.0
2010,total_p_mid_ug_l,20.71428571
2011,total_p_mid_ug_l,22.42857143
2012,total_p_mid_ug_l,23.83333333
2013,total_p_mid_ug_l,22.85714286
2014,total_p_mid_ug_l,19.85714286
2015,total_p_mid_ug_l,25.8
2016,total_p_mid_ug_l,18.75
2017,total_p_mid_ug_l,18.75
2018,total_p_mid_ug_l,25.86666667
2019,total_p_mid_ug_l,22.6875
2020,total_p_mid_ug_l,25.25
2021,total_p_mid_ug_l,19.78571429
2022,total_p_mid_ug_l,20.75
2023,total_p_mid_ug_l,16.12307692
2024,total_p_mid_ug_l,13.57142857
2025,total_p_mid_ug_l,21.0
2010,total_p_surface_ug_l,18.85714286
2011,total_p_surface_ug_l,21.0
2012,total_p_surface_ug_l,22.83333333
2013,total_p_surface_ug_l,21.85714286
2014,total_p_surface_ug_l,16.85714286
2015,total_p_surface_ug_l,24.2
2016,total_p_surface_ug_l,16.5
2017,total_p_surface_ug_l,20.5
2018,total_p_surface_ug_l,20.0
2019,total_p_surface_ug_l,22.0625
2020,total_p_surface_ug_l,21.93333333
2021,total_p_surface_ug_l,18.52307692
2022,total_p_surface_ug_l,16.91666667
2023,total_p_surface_ug_l,13.33333333
2024,total_p_surface_ug_l,13.16666667
2025,total_p_surface_ug_l,17.5
